date,code,code_name,listing_date,listing_age_trading_days,listing_status,listing_eligible,trading_status,price_limit_status,security_status
2018-01-05,sh.601128,常熟银行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sh.601166,兴业银行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sh.601169,北京银行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sh.601187,厦门银行,2020-10-27,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-05,sh.601229,上海银行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sh.601288,农业银行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sh.601328,交通银行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sh.601398,工商银行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sh.601528,瑞丰银行,2021-06-25,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-05,sh.601577,长沙银行,2018-09-26,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-05,sh.601658,邮储银行,2019-12-10,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-05,sh.601665,齐鲁银行,2021-06-18,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-05,sh.601818,光大银行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sh.601825,沪农商行,2021-08-19,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-05,sh.601838,成都银行,2018-01-31,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-05,sh.601860,紫金银行,2019-01-03,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-05,sh.601916,浙商银行,2019-11-26,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-05,sh.601939,建设银行,2018-01-02,4,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-05,sh.601963,重庆银行,2021-02-05,0,not_listed,0,not_listed,not_applicable,not_listed
